"IntoGen_cancer_type","gene","class","event","n","class_total","prop"
"CCRCC","FLT4","WGD","WT",2,2,1
"CCRCC","FLT4","HM","WT",2,2,1
"CCRCC","FLT4","Classic","WT",26,26,1
"CCRCC","KDM5C","Classic","CNA_driver",3,3,1
"CCRCC","KIF18A","WGD","CI_M",1,1,1
"CCRCC","KIF18B","WGD","CI_M",1,1,1
"CCRCC","KIF2A","WGD","CI_M",2,2,1
"CCRCC","KIF2A","HM","CI_M",2,2,1
"CCRCC","KIF2A","Classic","CI_M",1,1,1
"CCRCC","KMT2C","WGD","WT",4,4,1
"CCRCC","KMT2C","HM","WT",3,3,1
"CCRCC","KMT2C","Classic","WT",8,8,1
"CCRCC","KMT2D","WGD","WT",4,4,1
"CCRCC","KMT2D","HM","WT",3,3,1
"CCRCC","KMT2D","Classic","WT",2,2,1
"CCRCC","LRP1B","WGD","WT",4,4,1
"CCRCC","LRP1B","HM","WT",2,2,1
"CCRCC","LRP1B","Classic","WT",2,2,1
"CCRCC","MAD2L2","WGD","CI_M",1,1,1
"CCRCC","MAP3K1","WGD","WT",5,5,1
"CCRCC","MAP3K1","HM","WT",3,3,1
"CCRCC","MAP3K1","Classic","WT",7,7,1
"CCRCC","MET","WGD","WT",4,4,1
"CCRCC","MET","HM","WT",3,3,1
"CCRCC","MET","Classic","WT",8,8,1
"CCRCC","MLH1","Classic","M",1,1,1
"CCRCC","MTOR","WGD","WT",5,5,1
"CCRCC","MTOR","Classic","M",2,2,1
"CCRCC","MXD1","WGD","CI_M",1,1,1
"CCRCC","MYH9","WGD","M",1,1,1
"CCRCC","NF1","WGD","WT",5,5,1
"CCRCC","NF2","WGD","WT",4,4,1
"CCRCC","NF2","HM","WT",1,1,1
"CCRCC","PBRM1","WGD","M",3,4,0.75
"CCRCC","PBRM1","WGD","WT",1,4,0.25
"CCRCC","PBRM1","HM","CNA_driver",1,2,0.5
"CCRCC","PBRM1","HM","M",1,2,0.5
"CCRCC","PBRM1","Classic","CNA_driver",3,19,0.157894736842105
"CCRCC","PBRM1","Classic","M",16,19,0.842105263157895
"CCRCC","PDS5A","WGD","CI_M",1,1,1
"CCRCC","PDS5B","WGD","CI_M",1,1,1
"CCRCC","PIK3CA","WGD","WT",4,4,1
"CCRCC","PIK3CA","HM","WT",2,2,1
"CCRCC","PIK3CA","Classic","WT",4,4,1
"CCRCC","PIK3R1","WGD","M",1,1,1
"CCRCC","PIK3R1","Classic","M",1,1,1
"CCRCC","PLCG1","Classic","M",1,1,1
"CCRCC","PPARG","Classic","M",1,1,1
"CCRCC","PTEN","WGD","WT",5,5,1
"CCRCC","PTEN","Classic","M",1,1,1
"CCRCC","PTPRK","WGD","WT",5,5,1
"CCRCC","PTPRK","HM","WT",1,1,1
"CCRCC","QKI","Classic","CNA_driver",1,1,1
